episode_id,config_id,n_players,n_rounds,winner_strategy,winner_score,avg_score,min_score,max_score,cfg_g_min,cfg_g_max,cfg_alpha,cfg_beta,cfg_pi_p,cfg_pi_r,cfg_pi_q,cfg_c_u,cfg_c_o
100,5,6,6,zero,5.112,2.323,0.015,5.112,0.2937,0.6621,0.7291,0.1634,4.2767,4.9581,8.76,12.9112,3.5808
101,5,6,6,full,7.397,1.083,-2.694,7.397,0.2937,0.6621,0.7291,0.1634,4.2767,4.9581,8.76,12.9112,3.5808
102,5,6,6,quarter,10.055,2.195,-0.091,10.055,0.2937,0.6621,0.7291,0.1634,4.2767,4.9581,8.76,12.9112,3.5808
103,5,6,6,full,3.647,0.58,-1.871,3.647,0.2937,0.6621,0.7291,0.1634,4.2767,4.9581,8.76,12.9112,3.5808
104,5,6,6,half,8.442,1.453,-0.966,8.442,0.2937,0.6621,0.7291,0.1634,4.2767,4.9581,8.76,12.9112,3.5808
105,5,6,6,full,11.318,0.529,-5.905,11.318,0.2937,0.6621,0.7291,0.1634,4.2767,4.9581,8.76,12.9112,3.5808
106,5,6,6,half,6.13,1.641,-0.561,6.13,0.2937,0.6621,0.7291,0.1634,4.2767,4.9581,8.76,12.9112,3.5808
107,5,6,6,full,3.326,0.401,-0.951,3.326,0.2937,0.6621,0.7291,0.1634,4.2767,4.9581,8.76,12.9112,3.5808
108,5,6,6,full,1.422,0.303,-0.775,1.422,0.2937,0.6621,0.7291,0.1634,4.2767,4.9581,8.76,12.9112,3.5808
109,5,6,6,half,5.937,1.203,-2.663,5.937,0.2937,0.6621,0.7291,0.1634,4.2767,4.9581,8.76,12.9112,3.5808
110,5,6,6,half,8.123,1.64,-1.176,8.123,0.2937,0.6621,0.7291,0.1634,4.2767,4.9581,8.76,12.9112,3.5808
111,5,6,6,full,8.848,0.671,-3.331,8.848,0.2937,0.6621,0.7291,0.1634,4.2767,4.9581,8.76,12.9112,3.5808
112,5,6,6,full,6.514,0.212,-7.762,6.514,0.2937,0.6621,0.7291,0.1634,4.2767,4.9581,8.76,12.9112,3.5808
113,5,6,6,three_quarter,10.447,1.645,-0.783,10.447,0.2937,0.6621,0.7291,0.1634,4.2767,4.9581,8.76,12.9112,3.5808
114,5,6,6,three_quarter,9.26,0.498,-9.021,9.26,0.2937,0.6621,0.7291,0.1634,4.2767,4.9581,8.76,12.9112,3.5808
115,5,6,6,full,5.038,1.094,-1.505,5.038,0.2937,0.6621,0.7291,0.1634,4.2767,4.9581,8.76,12.9112,3.5808
116,5,6,6,half,8.902,1.451,-1.45,8.902,0.2937,0.6621,0.7291,0.1634,4.2767,4.9581,8.76,12.9112,3.5808
117,5,6,6,full,5.76,1.617,-0.328,5.76,0.2937,0.6621,0.7291,0.1634,4.2767,4.9581,8.76,12.9112,3.5808
118,5,6,6,half,11.545,2.042,-0.461,11.545,0.2937,0.6621,0.7291,0.1634,4.2767,4.9581,8.76,12.9112,3.5808
119,5,6,6,quarter,6.27,1.788,-0.724,6.27,0.2937,0.6621,0.7291,0.1634,4.2767,4.9581,8.76,12.9112,3.5808
120,6,6,6,three_quarter,3.624,0.972,-0.922,3.624,0.1416,0.4545,0.3155,0.2677,3.2659,4.7716,10.8873,9.0348,3.4495
121,6,6,6,half,2.474,0.313,-1.806,2.474,0.1416,0.4545,0.3155,0.2677,3.2659,4.7716,10.8873,9.0348,3.4495
122,6,6,6,half,1.097,-0.306,-2.453,1.097,0.1416,0.4545,0.3155,0.2677,3.2659,4.7716,10.8873,9.0348,3.4495
