config_id,g_min,g_max,alpha,beta,pi_p,pi_r,pi_q,c_u,c_o,major_share,major_player_frac
0,0.3058,0.6158,0.275,0.2232,6.4188,3.7068,11.0296,5.391,2.3986,0.5119,0.1656
1,0.2521,0.5628,0.1988,0.6499,5.2696,1.8818,8.3034,16.9509,0.5292,0.8223,0.3094
2,0.1861,0.5483,0.9572,0.3366,2.5565,1.3869,10.6274,13.6596,4.1321,0.7919,0.2609
3,0.4392,0.8907,0.552,0.8294,5.7111,4.4468,8.1962,15.2731,0.7062,0.5912,0.1868
4,0.0819,0.475,0.101,0.278,5.8141,2.4593,6.3316,7.3521,1.7014,0.8747,0.2944
5,0.2937,0.6621,0.7291,0.1634,4.2767,4.9581,8.76,12.9112,3.5808,0.8371,0.3328
6,0.1416,0.4545,0.3155,0.2677,3.2659,4.7716,10.8873,9.0348,3.4495,0.6583,0.3744
7,0.2335,0.6395,0.2466,0.5614,3.5764,3.3383,11.0804,10.3904,1.4869,0.899,0.2529
8,0.0864,0.4052,0.1096,0.6274,6.7525,2.6886,3.5717,10.1059,4.9825,0.7116,0.3913
9,0.3943,0.6989,0.7207,0.6817,5.2218,2.0673,8.7687,5.7848,2.4564,0.6815,0.3861
10,0.4003,0.8057,0.5006,0.1787,7.4758,4.4821,5.686,14.2232,3.2404,0.5611,0.3288
11,0.2658,0.8772,0.5304,0.0006,3.9449,1.0779,11.3619,18.0596,4.2425,0.623,0.1174
12,0.4012,0.99,0.0857,0.486,2.4153,4.0424,9.8925,6.0543,2.6388,0.7199,0.1795
13,0.399,0.8682,0.2118,0.5393,6.3796,1.8046,5.8054,19.9224,3.4245,0.6752,0.2553
14,0.0984,0.4883,0.3381,0.5883,3.3807,1.8809,3.6389,14.0976,1.5302,0.8622,0.3579
15,0.0783,0.4735,0.669,0.2142,2.7939,4.7421,8.1394,11.5627,4.0308,0.823,0.1571
16,0.0888,0.5612,0.4236,0.467,6.3745,3.6935,11.8575,5.5747,2.3118,0.6357,0.3585
17,0.1495,0.5255,0.4486,0.4219,3.6713,1.9992,11.3094,11.0901,4.3761,0.7201,0.1152
18,0.4497,0.99,0.969,0.9264,7.0922,1.6652,7.3708,7.42,2.3047,0.5235,0.2137
19,0.4441,0.8502,0.7841,0.455,4.538,4.8293,11.9588,12.8923,3.7328,0.5619,0.189
20,0.4375,0.9692,0.5422,0.748,2.343,3.3367,7.5257,17.6435,1.2084,0.8843,0.124
21,0.1243,0.6623,0.6752,0.2352,2.7193,4.5611,5.2159,13.5123,3.2872,0.6677,0.2751
22,0.2591,0.933,0.2043,0.7162,3.4321,2.5831,9.0452,8.8,1.9228,0.8007,0.1218
23,0.2333,0.9327,0.9961,0.0733,3.2789,2.0608,11.3993,18.0938,4.4567,0.6478,0.1473
24,0.3835,0.9649,0.6117,0.9872,5.9239,1.0313,10.3539,8.7901,3.4852,0.8756,0.1403
25,0.0962,0.439,0.5532,0.2723,5.629,3.8704,4.8324,14.1478,1.6879,0.6954,0.3716
26,0.3884,0.7254,0.4236,0.2767,2.0213,4.0845,8.734,8.1913,3.8355,0.7207,0.2283
27,0.0539,0.384,0.8831,0.9039,5.2735,4.3384,8.2426,6.3695,1.0735,0.6233,0.3697
28,0.3684,0.99,0.8989,0.2101,3.4972,1.4112,10.021,18.1462,2.3287,0.7483,0.1464
29,0.422,0.99,0.9762,0.8108,7.2885,1.0991,9.6291,9.315,4.6887,0.8209,0.3592
30,0.3743,0.781,0.7874,0.1081,7.233,4.4344,5.0019,17.0654,2.5714,0.6221,0.3386
