strategy,win_count,win_rate,n_transitions,avg_reward,min_reward,max_reward
full,293,0.293,6000,0.5386,-2.8587,5.7313
three_quarter,266,0.266,6000,0.4743,-1.9715,4.1116
half,220,0.22,6000,0.3589,-1.1878,3.8738
quarter,137,0.137,6000,0.1624,-1.4908,2.7909
tenth,45,0.045,6000,-0.0295,-2.7305,2.4812
zero,39,0.039,6000,-0.1543,-3.3086,2.6235
thresh_low,0,0.0,0,0.0,0,0
thresh_mid,0,0.0,0,0.0,0,0
thresh_high,0,0.0,0,0.0,0,0
uniform_rand,0,0.0,0,0.0,0,0
beta_center,0,0.0,0,0.0,0,0
beta_low,0,0.0,0,0.0,0,0
beta_high,0,0.0,0,0.0,0,0
